,username,like,reply,retweet,time,text,status
@LeadClimate-2023-04-27T16:51:14.000Z,@LeadClimate,2,0,0,2023-04-27T16:51:14.000Z,"ILeadClimate
@LeadClimate
·
Apr 27
Deadly African Drought Wouldn’t Have Happened without Climate Change.
#ActOnClimate
2
68",1651630090994741253
@Neeraj10z-2023-04-28T16:46:15.000Z,@Neeraj10z,14,1,8,2023-04-28T16:46:15.000Z,"Neeraj ( Writer/YouthMindset4Peace) #ActOnClimate
@Neeraj10z
·
Apr 28
Change is a part of our life and environment is our whole life. 

#ClimateStrike #ActOnClimate #FridaysForFuture #SDGs
Greta Thunberg and 9 others
1
8
14
295",1651991225069879296
@DKamwine-2023-04-14T09:55:59.000Z,@DKamwine,20,0,8,2023-04-14T09:55:59.000Z,"Dorah Kamwine
@DKamwine
·
Apr 14
Just heard an inspiring speech on #ClimateChange by the RDC kasanda  district at Forest High School.Their call to action for our youth to take a stand and protect our planet was powerful and much needed. Let's work together to create a sustainable future for all #ActOnClimate
Raising Teenagers Uganda and 5 others
8
20
604",1646814547251023875
@JohnBKing-2023-04-15T20:33:36.000Z,@JohnBKing,35,0,8,2023-04-15T20:33:36.000Z,"Dr. John B. King, Jr.
@JohnBKing
·
Apr 15
Really enjoyed participating in 
@ACEducation
 panel today on mobilizing the higher ed sector to act on climate & leveraging the Inflation Reduction Act with 
@sunyesf
 President Joanie Mahoney, 
@laschifter12
 of 
@ThisIsPlanetEd
, &  Michele Madia of 
@LeadOnClimate
!
Joanie Mahoney
8
35
3,010",1647337396374065156
@EnviroVic-2023-04-01T23:52:00.000Z,@EnviroVic,9,0,8,2023-04-01T23:52:00.000Z,"Environment Victoria
@EnviroVic
·
Apr 2
Wise words #IPCC #ActOnClimate
8
9
662",1642313895921725440
@CambridgeMOF-2023-04-08T18:56:57.000Z,@CambridgeMOF,23,0,11,2023-04-08T18:56:57.000Z,"Cambridge Mothers Out Front
@CambridgeMOF
·
Apr 8
⁦.
@sunrisemvmt
⁩ Cambridge and other #climateactivists urging #CambMA to cut emissions from large buildings and universities + invest in #GND #strongBEUDOAmendments #actonclimate #climatejustice #ghgemissions ⁦
@MOF_Mass
⁩ ⁦
@350Mass
⁩ ⁦
@GreenCambridge
⁩
11
23
522",1644776361020497927
@D_edufeminist-2023-04-27T16:49:58.000Z,@D_edufeminist,6,0,3,2023-04-27T16:49:58.000Z,"Adebola TheClimateEduFeminist
@D_edufeminist
·
Apr 27
Spain recorded its hottest ever temperature for April on Thursday, hitting 38.7C according to the country's meteorological service.
#ActOnClimate
3
6
68",1651629773800579097
@RIDemParty-2023-04-10T14:55:31.000Z,@RIDemParty,13,5,3,2023-04-10T14:55:31.000Z,"RI Democratic Party
@RIDemParty
·
Apr 10
Two years ago today, Rhode Island's Act on Climate was signed into law. The law sets 2050 as the deadline for Rhode Island to reach net-zero emissions. We look forward to leading the rest of the country into safer hands against the horrors of climate change. 
5
3
13
1,036",1645440379171291136
@350Vermont-2023-04-28T16:34:55.000Z,@350Vermont,2,1,0,2023-04-28T16:34:55.000Z,"350Vermont
@350Vermont
·
Apr 28
Next door to Vermont, they’re banning gas stoves —- which are climate polluters — in new buildings. #ActOnClimate
nytimes.com
New York to Ban Natural Gas, Including Stoves, in New Buildings
Gov. Kathy Hochul announced a state budget deal on Thursday with the first statewide ban on the use of natural gas in new buildings.
1
2
79",1651988374620700673
@WorldWide_Gen-2023-04-22T08:35:10.000Z,@WorldWide_Gen,4,0,4,2023-04-22T08:35:10.000Z,"World Wide Generation
@WorldWide_Gen
·
Apr 22
 Today, let's honor our planet by taking action on climate change.

Together, we can reduce emissions, protect our planet's precious resources, and create a sustainable future for generations to come.

#ActOnClimate #ClimateAction #SDGs
4
4
78",1649693311882371072
@CharJameson-2023-04-11T15:41:03.000Z,@CharJameson,11,0,3,2023-04-11T15:41:03.000Z,"Charlotte Jameson
@CharJameson
·
Apr 11
Climate advocates at the #MIHealthyClimate conference calling on the MI legislature to 1) adopt a 100% carbon free energy by 2035, 2) increase our energy waste reduction standards, and 3) regulate utilities on climate, affordability, and equity. #actonclimate
3
11
468",1645814223723798529
@eattransparent-2023-04-10T00:41:29.000Z,@eattransparent,16,0,8,2023-04-10T00:41:29.000Z,"Elena Fagotto
@eattransparent
·
Apr 10
Cambridge must act on climate and cut emissions from large buildings now! Ask for #strongBEUDOAmendments  #netzero2035 and no #globaloffsets
8
16
411",1645225454108909571
@UWCIMSS-2023-04-22T12:00:52.000Z,@UWCIMSS,25,0,9,2023-04-22T12:00:52.000Z,"UW-Madison CIMSS
@UWCIMSS
·
Apr 22
Imagine no possessions, I wonder if you can
No need for greed or hunger, A brotherhood of man
Imagine all the people, Sharing all the world 

#ActOnClimate  for #EarthDay2023
9
25
1,943",1649745080381497347
@Neeraj10z-2023-04-05T17:28:50.000Z,@Neeraj10z,12,0,6,2023-04-05T17:28:50.000Z,"Neeraj ( Writer/YouthMindset4Peace) #ActOnClimate
@Neeraj10z
·
Apr 5
When you love the nature for Better future ? 

#Climate #ActOnClimate #SDGs #mentalhealth
Gerald Kutney - a friend of #ClimateBrawl  and 9 others
6
12
302",1643667023778684929
@EconomyEurope-2023-04-23T13:11:07.000Z,@EconomyEurope,0,0,0,2023-04-23T13:11:07.000Z,"Circular Economy Europe
@EconomyEurope
·
Apr 23
MikeHudema: ""We are losing biodiversity at a rate unparrelled in human history."" Global wildlife populations have sunk over 60% since 1970.

We are destroying ourselves and taking nature with us. 

Time to protect people and the planet. 

#ActOnClimate #…
11.5K views
0:01 / 1:05
1:03
11.5K views
From 
Mike Hudema
120",1650125146198364161
@Rare_org-2023-04-24T16:56:44.000Z,@Rare_org,9,0,8,2023-04-24T16:56:44.000Z,"Rare
@Rare_org
·
Apr 24
“People judge their own behavior against what others are doing. There’s a strong tendency to conform to social norms."" —
@ClimateComms
, on the power of social proof in driving climate-friendly behavior.  


@AndreaTWeather
 writes on new research in 
@sciam
.
scientificamerican.com
What Makes People Act on Climate Change, according to Behavioral Science
To get people to shift to more climate-friendly behavior, what works best? Education? Payments? Peer pressure?
8
9
737",1650544312873103392
@_holyspokes-2023-04-25T15:08:07.000Z,@_holyspokes,29,2,11,2023-04-25T15:08:07.000Z,"Liza Birch
@_holyspokes
·
Apr 25
Count me among the folks who are feeling respect & gratitude for 
@AGNeronha
 these days. Thank you for candidly & expertly calling BS on a lot of the McKee administration's shortcomings, including implementation of #ActonClimate, which will fail unless we implement the TMP & BMP:
Quote Tweet
Peter Neronha
@PeterNeronha
·
Apr 24
It’s said a picture is worth a 1000 words. But here’s a few thousand words from our environmental team to our colleagues in state gov’t on exactly how we need to pick up the pace on climate. Specifics matter. 

https://riag.ri.gov/sites/g/files/xkgbur496/files/2022-12/RIAG%20Comment%20on%20EC4%202022%20Update%20FINAL%2012.9.22.pdf…
2
11
29
3,816",1650879365704568833
@AbiluTangwa-2023-04-28T05:54:23.000Z,@AbiluTangwa,8,1,5,2023-04-28T05:54:23.000Z,"Tangwa Abilu.
@AbiluTangwa
·
Apr 28
As we face the gravity of climate change, it is imperative that we stop fossil fuels companies from destroying our livable planet. Their greed is far too expensive. our future is not a commodity to be sold to the highest bidder. #ActOnClimate.
Quote Tweet
Endel Stamberg #FightFor1Point5
@endelstamberg
·
Apr 28
We must stop fossil fuel companies like RWE from the exploitation of more fossil fuels! 
Lützerath-Moratorium jetzt! 


#luetzibleibt #StandWithLützi #AlleDoerferBleiben #Luetzerathbleibt
Show this thread
1
5
8
271",1651827178038755329
@electruthwalter-2023-04-26T18:57:38.000Z,@electruthwalter,18,1,12,2023-04-26T18:57:38.000Z,"Ruth Walter
@electruthwalter
·
Apr 26
Don’t be a climate denier. Our window for action is closing rapidly. #ActOnClimate
Quote Tweet
Prof Michael E. Mann
@MichaelEMann
·
Apr 26
Congratulations @RonJohnsonWI, you've graduated to the 2nd stage of climate denial. 
#MadhouseEffect  twitter.com/HeartlandSigna…
1
12
18
4,788",1651299513565315080
@RepDarrenSoto-2023-03-29T13:00:00.000Z,@RepDarrenSoto,18,4,7,2023-03-29T13:00:00.000Z,"Rep. Darren Soto
@RepDarrenSoto
·
Mar 29
H.R. 1 is a $117 billion deficit-busting, taxpayer giveaway to polluters. It also attempts to repeal major climate change reforms.

Apparently, their TOP priority is putting #PollutersOverPeople. Ours is to #ActOnClimate and protect our future! 
4
7
18
1,229",1641062653291294724
@EconomyEurope-2023-04-24T00:10:03.000Z,@EconomyEurope,2,0,3,2023-04-24T00:10:03.000Z,"Circular Economy Europe
@EconomyEurope
·
Apr 24
MikeHudema: This medical facility in Indiana got a #solarpower upgrade. It's the first carbon neutral medical facility in the state. 

RT if you think more parking lots should go #solar. 

We have the solutions. Implement them. #ActOnClimate 

#climate #…
From 
Mike Hudema
3
2
133",1650290973849575424
@zeinawahed1-2023-04-26T12:23:56.000Z,@zeinawahed1,2,0,1,2023-04-26T12:23:56.000Z,"Zeina Wahed
@zeinawahed1
·
Apr 26
It's time to take #ClimateChange seriously! Our health, food, housing, safety & work are all at risk. 
Let's support #COP28 to deliver an action plan that's inclusive, ambitious, and bold. We can't afford to delay any longer! 

@COP28_UAE
 
#GlobalStocktake #ActOnClimate 
1
2
53",1651200436299505664
@EconomyEurope-2023-04-27T00:11:22.000Z,@EconomyEurope,0,0,0,2023-04-27T00:11:22.000Z,"Circular Economy Europe
@EconomyEurope
·
Apr 27
MikeHudema: This school in Denmark is covered in #solar panels. It's the longest solar panel facade in the world. 

RT if you think all schools should get a solar upgrade.

#ActOnClimate #climate #renewables #sustainability #solar #energy #innovation #te…
5,732 views
0:00 / 1:10
1:09
5,732 views
From 
Mike Hudema
94",1651378468053999617
@Youth4WaterPlus-2023-04-29T12:16:38.000Z,@Youth4WaterPlus,2,0,0,2023-04-29T12:16:38.000Z,"Youth4Water Plus
@Youth4WaterPlus
·
20h
Can you caption this photo and help us raise awareness about the impact of climate change? 

#ActOnClimate #ClimateActionNow
2
61",1652285763441278976
@allan_alsina-2023-04-07T08:10:13.000Z,@allan_alsina,81,4,35,2023-04-07T08:10:13.000Z,"alsina allan
@allan_alsina
·
Apr 7
Almost any building, school, or parking lot could be turned into a #solar power plant and provide #cleanenergy for our cities and homes.
#ActOnClimate #ClimateCrisis #GreenNewDeal #FridaysForFuture 
@vanessa_vash
  
@ee_reagan
  
@Riseupmovt
4
35
81
2,620",1644251217017667584
@AYYANWORLD-2023-04-11T16:42:14.000Z,@AYYANWORLD,71,3,13,2023-04-11T16:42:14.000Z,"Ayyan
@AYYANWORLD
·
Apr 11
 … 
End the war with nature!
#ActOnClimate

Quote Tweet
Nature is Amazing 
@WelcomeToNatur
·
Apr 11
The importance of a single tree
3
13
71
3,886",1645829621126971394
@DPlanetNFT-2023-04-29T09:49:20.000Z,@DPlanetNFT,3,1,1,2023-04-29T09:49:20.000Z,"Disintegrating Planet NFT
@DPlanetNFT
·
22h
 Walk, bike, or take public transport

The world’s roadways are clogged with vehicles, most of them burning diesel or gasoline. Walking or riding a bike instead of driving will reduce greenhouse gas emissions -- and help your health and fitness.  #ActOnClimate

Happy Saturday!
1
1
3
79",1652248692030599169
@BojanaBogojevic-2023-04-29T21:36:36.000Z,@BojanaBogojevic,4,1,4,2023-04-29T21:36:36.000Z,"Bojana Bogojevic 
@BojanaBogojevic
·
11h
The #NewYork Tropical Deforestation-Free Procurement Act Will End New York State Funding of #ClimateDestruction, #TropicalDeforestation
#SDGs #ActOnClimate 

@AdamRogers2030


@algore


@Stephencgill


@usambserbia


@POTUS


@AbdulazizMkwizu


@34rajats


@Sdg13Un
foe.org
Groundbreaking New York Climate Bill Passes Senate
The New York Tropical Deforestation-Free Procurement Act passed in the New York State Senate today within a package of environmental bills.
1
4
4
151",1652426681771016194
@DPlanetNFT-2023-04-27T12:06:38.000Z,@DPlanetNFT,3,0,1,2023-04-27T12:06:38.000Z,"Disintegrating Planet NFT
@DPlanetNFT
·
Apr 27
Replying to 
@PGDynes
Temperatures in the world’s oceans have broken fresh records, testing new highs for more than a month in an “unprecedented” run that has led to scientists stating the Earth has reached uncharted territory in the climate crisis. Fiona Harvey
#ActOnClimate of this will happen 

1
3
110",1651558471064596480
@Global_Witness-2023-04-24T17:00:01.000Z,@Global_Witness,7,0,2,2023-04-24T17:00:01.000Z,"Global Witness
@Global_Witness
·
Apr 24
TOMORROW | MEPs in the EU Parliament will vote on whether to oblige companies to act on #Climate and respect #HumanRights.

This morning, we joined our partners in Brussels to call for a strong law that protects people and planet!


@foeeurope
2
7
773",1650545137674756097
@RNBreakfast-2023-04-23T23:44:20.000Z,@RNBreakfast,12,6,7,2023-04-23T23:44:20.000Z,"RN Breakfast
@RNBreakfast
·
Apr 24
The former President of Kirabati, Anote Tong, has been visiting the Torres Strait to see the impact of climate change on people there.

He's also calling on the Australian government to take more action to protect people living there, and in the Pacific.
abc.net.au
Push for Australia act on climate change to protect the Pacific - ABC Radio National
The former President of Kirabati, Anote Tong, has been visiting the Torres Strait to see the impact of climate change on people there. He's also calling on the Australian government to take more...
6
7
12
2,017",1650284501283766272
@reishuk-2023-04-24T13:43:02.000Z,@reishuk,4,2,0,2023-04-24T13:43:02.000Z,"Urban Hiker
@reishuk
·
Apr 24
Replying to 
@Island417
 and 
@PeterNeronha
@AGNeronha
's office is obligated to enforce the Rhode Island 2021 Act on Climate, and the goals set forth in it.
I find it encouraging that their chief understands science. 
2
4
90",1650495564973322245
@jimwitkins-2023-04-26T22:30:40.000Z,@jimwitkins,7,2,4,2023-04-26T22:30:40.000Z,"Jim Witkins
@jimwitkins
·
Apr 27
He’s paid by the Fossil Fuel companies to act dumb & spread lies, so Americans keep pretending we’re not in a climate emergency. Even those that get this continue biz as usual. Keep buying SUVs, bigger houses, etc. #ActOnClimate #wiunion 
@soledadobrien
Quote Tweet
Soledad O'Brien
@soledadobrien
·
Apr 26
How is it possible that the Senator is that stupid? twitter.com/HeartlandSigna…
2
4
7
336",1651353127445057538
@AbiluTangwa-2023-04-24T10:11:19.000Z,@AbiluTangwa,21,1,6,2023-04-24T10:11:19.000Z,"Tangwa Abilu.
@AbiluTangwa
·
Apr 24
Lets not postpone climate action because Climate change is no longer a distant threat, it's happening NOW. Let's take action to reduce our carbon emissions and protect our livable  planet for the present and future generations #ActOnClimate #ClimateActionNow
1
6
21
208",1650442287036481541
@CGombatto-2023-04-28T13:27:04.000Z,@CGombatto,2,2,1,2023-04-28T13:27:04.000Z,"Charles Gombatto
@CGombatto
·
Apr 28
#ClimateScam #ClimateEmergency #climate #ActOnClimate
Yesterday's global high was 45.5ºC at Matam, Senegal, while the low was -71.7ºC at Vostok Station.
Which one is the #ClimateCrisis ?
2
1
2
138",1651941100901343234
@adclimate-2023-04-21T19:44:26.000Z,@adclimate,19,0,11,2023-04-21T19:44:26.000Z,"Adrien
@adclimate
·
Apr 21
Melting glaciers in Norway reveal Viking artifacts and highways. Undeniable proof that the climate was warmer during the middle age despite no human CO² emissions.
#ClimateScam
#ClimateEmergency
#ActOnClimate
cnn.com
Melting glaciers reveal lost mountain pass and artifacts used by Vikings | CNN
Melting ice has revealed a lost mountain pass in Norway -- and hundreds of well-preserved Viking artifacts strewn along the path, including tools and clothing.
11
19
219",1649499350815449088
@ClimateReality-2023-04-22T22:11:00.000Z,@ClimateReality,29,7,14,2023-04-22T22:11:00.000Z,"Climate Reality
@ClimateReality
·
Apr 23
#G7 officials are currently debating the future of US natural gas. Will they decide to expand #fossilfuels and exacerbate  poverty in the Global South, or divest and #ActOnClimate?
ft.com
G7 ministers agree to accelerate phase-out of fossil fuels
Japan’s plans for ammonia and coal use challenged but Tokyo resists setting firm timeline for wind-down
7
14
29
5,403",1649898625898541058
@PabloRasmussen8-2023-04-28T09:06:30.000Z,@PabloRasmussen8,1,0,0,2023-04-28T09:06:30.000Z,"Pablo Rasmussen
@PabloRasmussen8
·
Apr 28
Where the EU’s fiscal rules intersect with the need to act on climate.
Quote Tweet
Sebastian Mang
@seb_mang
·
Apr 28
Excited to share our new @NEF report co-authored with @DominicCaddick on green industrial policy & how the EU is to plug green spending gaps

Conclusion: Proposed fiscal rules stand in the way of sufficient and inclusive green spending

Read it here: https://neweconomics.org/2023/04/beyond-the-bottom-line…

Show this thread
1
70",1651875527915970561
@AbiluTangwa-2023-04-29T09:33:17.000Z,@AbiluTangwa,16,0,5,2023-04-29T09:33:17.000Z,"Tangwa Abilu.
@AbiluTangwa
·
23h
Despite growing scientific evidence and public demand for #ClimateAction, the lack of political commitment from world leaders continues to hinder progress. It's time for leaders to prioritize the planet over short-term interests and take bold, decisive action. #ActOnClimate
5
16
253",1652244653121388546
@Extincts_App-2023-04-21T14:15:29.000Z,@Extincts_App,2,0,0,2023-04-21T14:15:29.000Z,"Extincts CIC
@Extincts_App
·
Apr 21
Interested in climate action? Get into #GoodLifeGoals 13 Act On Climate – everyday actions to help make the #SDGs happen. https://bit.ly/41gAZnD
2
17",1649416569112371201
@EconomyEurope-2023-04-21T13:13:52.000Z,@EconomyEurope,1,0,3,2023-04-21T13:13:52.000Z,"Circular Economy Europe
@EconomyEurope
·
Apr 21
MikeHudema: Worst April heat wave in Asian history ongoing in more than a dozen countries.
44.0C in Pakistan
43.5C in India
43.4C in Thailand
43.3C in Myanmar
41.7C in Bangladesh
42C in Central Asia. 

It's APRIL! There is no time to wait. #ActOnClimate …
3
1
348",1649401064733515776
@MDLCV-2023-04-21T16:18:10.000Z,@MDLCV,18,1,4,2023-04-21T16:18:10.000Z,"Maryland LCV
@MDLCV
·
Apr 21
Joining 
@SpeakerAJones
 
@katiefryhester
 
@SaraLove4MD
 
@SenatorSusanLee
 
@joshtulkin
 
@RichardEricD
 today at 
@TradePointATL
 for a special announcement. 
@OrstedUS
 #ActOnClimate #mdga23
1
4
18
316",1649447444910940162
@CleanAirMoms_PA-2023-04-25T21:37:47.000Z,@CleanAirMoms_PA,6,0,3,2023-04-25T21:37:47.000Z,"Pennsylvania Moms
@CleanAirMoms_PA
·
Apr 26
Thank you Acting 
@PADEPSecretary
⁩ Negrin⁩ for welcoming 
@CleanAirMoms
 and ⁦⁦
@CreationCare
⁩ with open arms. The work you are doing to center frontline voices, low wealth communities and communities of color makes us #hopeful. #ActOnClimate
3
6
340",1650977431367368705
@KylieFindomUSA-2023-04-29T02:52:04.000Z,@KylieFindomUSA,1,0,1,2023-04-29T02:52:04.000Z,"K Y L I E Fargo
@KylieFindomUSA
·
Apr 29
Climate change is real and the effects of global warming are becoming increasingly apparent. It's time for us to take action and make a positive impact on our planet. #ActOnClimate #GlobalWarming
1
1
66",1652143685981618178
@ezukutu-2023-04-29T11:55:03.000Z,@ezukutu,0,1,0,2023-04-29T11:55:03.000Z,"fernando zarauz
@ezukutu
·
20h
There is no more urgent fight for #women right now than that of #climate. The crisis will affect women more than everything else in the world—more than abortion rollbacks, oppressive governments, or lower pay grades. #ActOnClimate

Read On 
theguardian.com
There’s no greater feminist cause than the climate fight – and saving each other
When my country, Pakistan, flooded last year, women faced particular suffering. That’s true around the world
1
5",1652280331397988355
@Flandrensis_Gov-2023-04-29T18:43:32.000Z,@Flandrensis_Gov,15,1,0,2023-04-29T18:43:32.000Z,"Grand Duchy of Flandrensis
@Flandrensis_Gov
·
14h
How to introduce our ecological pillars in daily life: create your own ecological sanctuary! Thank you Ca' Pallai for the amazing photo and inspiration  https://flandrensis.com/climate/ #micronation #ActOnClimate #Flandrensis
1
15
188",1652383127858290690
@SenatorRobHogg-2023-04-22T22:33:50.000Z,@SenatorRobHogg,39,2,14,2023-04-22T22:33:50.000Z,"Rob Hogg
@SenatorRobHogg
·
Apr 23
Today I was volunteering for 
@CitizensClimate
 at EcoFest in Cedar Rapids.

It was a great day for more people to get involved to act on climate together.

If you would like to join CCL locally, let me know. If you would like to sign up nationally, visit:
https://citizensclimatelobby.org
2
14
39
1,472",1649904373269422082
@retweetperfect1-2023-04-29T15:33:26.000Z,@retweetperfect1,0,0,0,2023-04-29T15:33:26.000Z,"SolarGPT
@retweetperfect1
·
17h
It's alarming to see climate change predictions not pan out, but that doesn't absolve us from the need to act now and ensure the people of the future inherit a healthy, habitable planet. #ActOnClimate
Quote Tweet
Frank Lasee @truthinenergyandclimate
@lasee_frank
·
17h
·
Another Epic Climate Doom failure. This Forbes article says that by now, just 5 years after the prediction there would be no more artic ice. None - zip - nada. And this guy was certain. He also said that sea ice was down 75% when it was written. Wrong down about 15%. Part of…
5",1652335287974912000
@NewDayinAmerica-2023-04-23T13:30:04.000Z,@NewDayinAmerica,3,0,1,2023-04-23T13:30:04.000Z,"A New Day in America
@NewDayinAmerica
·
Apr 23
""You don't need to be an expert to be a climate activist. You just have to want to make a change."" ~ 
@CC_Yale
.

What are YOU doing to act on climate? #ClimateEmergency #ClimateAction #ClimateActionNow (Photo from Beyond Paris and SoCal Solutions Rally -- L.A. 06-2017)
1
3
54",1650129915193245696
@DPlanetNFT-2023-04-26T19:16:12.000Z,@DPlanetNFT,6,0,4,2023-04-26T19:16:12.000Z,"Disintegrating Planet NFT
@DPlanetNFT
·
Apr 26
3 R's

- Reduce: consume less, more efficiently.

- Reuse: take advantage of second-hand markets, to give new life to items that you don't use anymore

- Recycle: packaging, waste from electronics, etc. 

#ActOnClimate or this will happen

#nftart #NFTCommunity
4
6
180",1651304186439401506
@marilynjoy14-2023-04-23T14:09:47.000Z,@marilynjoy14,8,1,4,2023-04-23T14:09:47.000Z,"Marilyn Joy 
@marilynjoy14
·
Apr 23
You can’t do business on a dead planet  #ClimateEmergency #ActOnClimate
Quote Tweet
GO GREEN
@ECOWARRIORSS
·
Apr 23
$2.8 billion every single day for the last 50 years is how much profit the fossil industry make 
That is not an incentive to save our climate but an incentive to keep on heating up the planet until life can no longer exist 
Deniers are useful idiots for fossil fuel industry
Show this thread
1
4
8
884",1650139909452177408
@EthicalHour-2023-04-29T06:00:05.000Z,@EthicalHour,1,1,0,2023-04-29T06:00:05.000Z,"#EthicalHour®
@EthicalHour
·
Apr 29
Fossil fuel subsidies are fuelling the climate crisis!

It's time to demand that the government takes action and puts a sustainable future for all at the top of the agenda. 

HAVE YOUR SAY  https://ethicalhour.com/home/the-campaign/?utm_campaign=meetedgar&utm_medium=social&utm_source=meetedgar.com…

#climateaction #FossilFuels #actonclimate #EthicalHour
1
1
259",1652191002092765185
@UnitedGMH-2023-04-22T06:00:45.000Z,@UnitedGMH,10,1,4,2023-04-22T06:00:45.000Z,"United for Global Mental Health
@UnitedGMH
·
Apr 22
Happy #EarthDay! Let's join hands to spread awareness and ignite #ClimateAction to protect our #planet and safeguard our #MentalHealth. Join our #MHForAll webinar in May, to learn how #ClimateChange impacts mental health.

#ActOnClimate #RestoreOurEarth
1/2
1
4
10
976",1649654453098741764
@ClimateReality-2023-04-25T00:05:00.000Z,@ClimateReality,15,0,5,2023-04-25T00:05:00.000Z,"Climate Reality
@ClimateReality
·
Apr 25
Despite the unfortunate #WVvEPA ruling, the SEC has a responsibility to #ActOnClimate. We all do.
cnbc.com
SEC's Gensler in congressional hot seat today over climate change and crypto
Oversight hearings are normally a snoozefest, but this one has the potential for fireworks.
5
15
4,420",1650652089633107973
@SftGsignals-2023-04-30T06:49:09.000Z,@SftGsignals,1,0,0,2023-04-30T06:49:09.000Z,"Signals from the Grassroots
@SftGsignals
·
1h
Apply for the Samsung-UNDP Generation 17 for Young Change Makers Program!

https://signalsfromthegrassroots.github.io/1/opportunity.html…

#Generation17 #Youth2030 #SDGs #globalgoals #SDG #SDG13 #ClimateAction #ActNow #actonclimate #climatechange #climatecrisis #climatejustice #savetheplanet

@undp
 
@samsung
 
@UNDP4Youth
1
25",1652565736894914560
@GreenpeaceSEA-2023-04-28T04:30:00.000Z,@GreenpeaceSEA,3,0,5,2023-04-28T04:30:00.000Z,"Greenpeace Southeast Asia
@GreenpeaceSEA
·
Apr 28
Let's pretend to be shocked.
“Human-induced climate change is the major cause of the growing number and ferocity of heat-waves we’re seeing across Asia. These signal to the fact that the climate emergency is here for this region.""
#ActOnClimate
theguardian.com
‘Endless record heat’ in Asia as highest April temperatures recorded
Record April temperatures recorded in Thailand, Myanmar, Laos, Vietnam, China and South Asia
5
3
203",1651805942692958209
@jimwitkins-2023-04-29T01:00:30.000Z,@jimwitkins,4,0,3,2023-04-29T01:00:30.000Z,"Jim Witkins
@jimwitkins
·
Apr 29
Heat is not a problem, unless you're in Africa, according to our honest, well informed, and not paid by the #FFindustry, Senator 
@SenRonJohnson
. Also, don't google 'wet-bulb temps' or be concerned with humanity outside your zip code. #wiunion #ActOnClimate
Quote Tweet
Reuters
@Reuters
·
Apr 28
Spain, Portugal swelter as April temperature records broken http://reut.rs/41NbjiC
3
4
274",1652115608035573761
@JRooneyVarga-2023-04-25T13:14:11.000Z,@JRooneyVarga,5,1,3,2023-04-25T13:14:11.000Z,"Juliette RooneyVarga
@JRooneyVarga
·
Apr 25
We are social creatures - and are far more likely to #ActOnClimate with other people than alone. One more bit of evidence that leverage for action is in social learning and social networks. 
@APerliger
 https://grist.org/language/climate-talking-point-wrong-psychological-distance-study/… 1/2
grist.org
Study: Common talking point about climate change gets it all wrong
There’s no solid evidence that framing the global problem as a local concern prompts action.
1
3
5
449",1650850692439891968
@PurposefulWit-2023-04-29T13:34:03.000Z,@PurposefulWit,1,0,0,2023-04-29T13:34:03.000Z,"David Niko Stan Account Aldridge
@PurposefulWit
·
19h
Yes, there is clearly no data that Gen Z authentically cares about the plague of school shootings, seeing their LGBTQ peers treated as inhuman, and watching politicians refuse to act on climate change. 

It’s all a paid act.

I see no way that that opinion doesn’t backfire.
Quote Tweet
Tim Pool
@Timcast
·
20h
So community notes says these are just paid shills? twitter.com/harryjsisson/s…
1
144",1652305245286825985
@MeckeringBoy-2023-04-20T06:10:18.000Z,@MeckeringBoy,31,5,18,2023-04-20T06:10:18.000Z,"Mike Dowling-VoteYES & ACTION ON CLIMATE NOW
@MeckeringBoy
·
Apr 20
Remember all those RW science deniers who said climate change was a hoax? That it was crap? That a warming world was better than a cooling one? Who said, “Yeah, but, it’s too expensive to act on climate”?…

It only gets worse from here. These are the very best years. Now.
Quote Tweet
Jack Lowe
@MrJackLowe
·
Apr 18
Snooker though
5
18
31
1,585",1648932082431971328
@Clearvue_-2023-04-28T10:11:58.000Z,@Clearvue_,3,0,0,2023-04-28T10:11:58.000Z,"ClearVUE.Business
@Clearvue_
·
Apr 28
UK falling behind, while US & EU charge forward in the 'Global green race':

“It is clearer than ever that we need to facilitate major new investment. Instead, the government is repackaging old announcements” - Wera Hobhouse.

#ActOnClimate
theguardian.com
UK investment in clean energy transition falls 10%, bucking global trend
Research shows Britain lagging behind at crucial time as US and EU pursue green growth hastened by Ukraine invasion
3
35",1651892003083374592
@pablovinales-2023-04-25T21:24:47.000Z,@pablovinales,12,0,5,2023-04-25T21:24:47.000Z,"Pablo Viñales
@pablovinales
·
Apr 26
Commonwealth Secretary-General Patricia Scotland has called on Australia to ‘step up to the plate’ by contributing to a climate disaster fund to help smaller nations bearing the brunt of natural disasters.
sbs.com.au
Commonwealth of Nations head calls on Australia to act on climate change
Commonwealth Secretary-General Patricia Scotland is visiting the Pacific and is currently in Australia. She’s calling on Australia to ‘step up to the plate’ by contributing to a climate disaster fund...
5
12
1,934",1650974156408909824
